,exp_name,env_name,seed,metric,env_step,value
335,ours,acrobot-swingup,3,avg_return,360000,263.21352808503036
336,ours,acrobot-swingup,3,avg_return,370000,266.99516476758276
337,ours,acrobot-swingup,3,avg_return,380000,253.08177533306247
338,ours,acrobot-swingup,3,avg_return,390000,493.72166034666634
339,ours,acrobot-swingup,3,avg_return,400000,299.09680651182788
340,ours,acrobot-swingup,3,avg_return,410000,289.61458102739488
341,ours,acrobot-swingup,3,avg_return,420000,212.6717599552037
342,ours,acrobot-swingup,3,avg_return,430000,341.95568207446934
343,ours,acrobot-swingup,3,avg_return,440000,451.66742945614271
344,ours,acrobot-swingup,3,avg_return,450000,343.91364512868012
345,ours,acrobot-swingup,3,avg_return,460000,465.41377690904665
346,ours,acrobot-swingup,3,avg_return,470000,377.3313794618723
347,ours,acrobot-swingup,3,avg_return,480000,305.88483318716141
348,ours,acrobot-swingup,3,avg_return,490000,391.70432803320364
349,ours,acrobot-swingup,3,avg_return,500000,190.30621347404997
350,ours,acrobot-swingup,3,avg_return,510000,450.72600724717529
351,ours,acrobot-swingup,3,avg_return,520000,335.58539915699032
352,ours,acrobot-swingup,3,avg_return,530000,489.77333225939236
353,ours,acrobot-swingup,3,avg_return,540000,484.21032224196404
354,ours,acrobot-swingup,3,avg_return,550000,481.2263256451244
355,ours,acrobot-swingup,3,avg_return,560000,492.69121300671043
356,ours,acrobot-swingup,3,avg_return,570000,587.17669190177548
357,ours,acrobot-swingup,3,avg_return,580000,399.28474710118144
358,ours,acrobot-swingup,3,avg_return,590000,380.45267352825471
359,ours,acrobot-swingup,3,avg_return,600000,563.47891298531499
360,ours,acrobot-swingup,3,avg_return,610000,391.27179332211335
361,ours,acrobot-swingup,3,avg_return,620000,633.0623253174042
362,ours,acrobot-swingup,3,avg_return,630000,516.30673029964919
363,ours,acrobot-swingup,3,avg_return,640000,487.71028576240207
364,ours,acrobot-swingup,3,avg_return,650000,427.99512827900651
365,ours,acrobot-swingup,3,avg_return,660000,605.99723134849876
366,ours,acrobot-swingup,3,avg_return,670000,500.96931256810058
367,ours,acrobot-swingup,3,avg_return,680000,681.24136654791891
368,ours,acrobot-swingup,3,avg_return,690000,257.83701526141914
369,ours,acrobot-swingup,3,avg_return,700000,502.13343219209656
370,ours,acrobot-swingup,3,avg_return,710000,485.29899975143445
371,ours,acrobot-swingup,3,avg_return,720000,523.83549465575993
372,ours,acrobot-swingup,3,avg_return,730000,411.43436157885327
373,ours,acrobot-swingup,3,avg_return,740000,551.08786609151844
374,ours,acrobot-swingup,3,avg_return,750000,485.88429907113306
375,ours,acrobot-swingup,3,avg_return,760000,413.3983703216046
376,ours,acrobot-swingup,3,avg_return,770000,626.05478542825301
377,ours,acrobot-swingup,3,avg_return,780000,384.1218290664072
378,ours,acrobot-swingup,3,avg_return,790000,631.10530432395774
379,ours,acrobot-swingup,3,avg_return,800000,494.13560043927765
380,ours,acrobot-swingup,3,avg_return,810000,599.43224676634895
381,ours,acrobot-swingup,3,avg_return,820000,627.43168090030315
382,ours,acrobot-swingup,3,avg_return,830000,292.36430434813684
383,ours,acrobot-swingup,3,avg_return,840000,404.73105934173356
384,ours,acrobot-swingup,3,avg_return,850000,629.97264631765188
385,ours,acrobot-swingup,3,avg_return,860000,478.81942903779066
386,ours,acrobot-swingup,3,avg_return,870000,446.85778419308264
387,ours,acrobot-swingup,3,avg_return,880000,572.72367946670306
388,ours,acrobot-swingup,3,avg_return,890000,423.02474025724507
389,ours,acrobot-swingup,3,avg_return,900000,674.28921675023241
390,ours,acrobot-swingup,3,avg_return,910000,406.48724919135259
391,ours,acrobot-swingup,3,avg_return,920000,491.08246343951959
392,ours,acrobot-swingup,3,avg_return,930000,425.88272779978962
393,ours,acrobot-swingup,3,avg_return,940000,405.96935398677533
394,ours,acrobot-swingup,3,avg_return,950000,565.17297524878165
395,ours,acrobot-swingup,3,avg_return,960000,541.37775626145697
396,ours,acrobot-swingup,3,avg_return,970000,582.12585545628076
397,ours,acrobot-swingup,3,avg_return,980000,738.94496680367115
398,ours,acrobot-swingup,3,avg_return,990000,491.84562186256824
399,ours,acrobot-swingup,3,avg_return,1000000,659.52873959666124
400,ours,acrobot-swingup,4,avg_return,10000,13.313135874672081
401,ours,acrobot-swingup,4,avg_return,20000,10.102957823248422
402,ours,acrobot-swingup,4,avg_return,30000,9.7887581062675295
403,ours,acrobot-swingup,4,avg_return,40000,41.36800462509877
404,ours,acrobot-swingup,4,avg_return,50000,3.5857718558623746
405,ours,acrobot-swingup,4,avg_return,60000,24.052365530548478
406,ours,acrobot-swingup,4,avg_return,70000,85.499084833941495
407,ours,acrobot-swingup,4,avg_return,80000,262.19282203757666
408,ours,acrobot-swingup,4,avg_return,90000,145.86325484863661
409,ours,acrobot-swingup,4,avg_return,100000,252.44669799822032
410,ours,acrobot-swingup,4,avg_return,110000,145.09113226328412
411,ours,acrobot-swingup,4,avg_return,120000,129.62941607815986
412,ours,acrobot-swingup,4,avg_return,130000,192.47024649911467
413,ours,acrobot-swingup,4,avg_return,140000,159.49247434475677
414,ours,acrobot-swingup,4,avg_return,150000,117.10134647212382
415,ours,acrobot-swingup,4,avg_return,160000,155.47194090269778
416,ours,acrobot-swingup,4,avg_return,170000,329.61545084043968
417,ours,acrobot-swingup,4,avg_return,180000,283.11601085038455
418,ours,acrobot-swingup,4,avg_return,190000,223.2061856099171
419,ours,acrobot-swingup,4,avg_return,200000,377.4983082867426
420,ours,acrobot-swingup,4,avg_return,210000,261.36783188650111
421,ours,acrobot-swingup,4,avg_return,220000,232.11163539776194
422,ours,acrobot-swingup,4,avg_return,230000,423.81530985408756
423,ours,acrobot-swingup,4,avg_return,240000,197.49372226661657
424,ours,acrobot-swingup,4,avg_return,250000,360.19066803091039
425,ours,acrobot-swingup,4,avg_return,260000,169.47658913732334
426,ours,acrobot-swingup,4,avg_return,270000,265.76760000302983
427,ours,acrobot-swingup,4,avg_return,280000,214.22780561893973
428,ours,acrobot-swingup,4,avg_return,290000,122.97231441701516
429,ours,acrobot-swingup,4,avg_return,300000,193.54863832418923
430,ours,acrobot-swingup,4,avg_return,310000,423.9827133315124
431,ours,acrobot-swingup,4,avg_return,320000,484.7561359365298
432,ours,acrobot-swingup,4,avg_return,330000,222.60999889918327
